
Pavarde       Vardas         Galutinis (Vid.)    Galutinis (Med.)    
------------------------------------------------------------------
Pavarde7612    Vardas7612     5.00                x.xx                
Pavarde9266    Vardas9266     5.00                x.xx                
Pavarde3177    Vardas3177     5.00                x.xx                
Pavarde5459    Vardas5459     5.00                x.xx                
Pavarde9190    Vardas9190     5.00                x.xx                
Pavarde192     Vardas192      5.00                x.xx                
Pavarde911     Vardas911      5.00                x.xx                
Pavarde2085    Vardas2085     5.00                x.xx                
Pavarde6145    Vardas6145     5.00                x.xx                
Pavarde7219    Vardas7219     5.00                x.xx                
Pavarde4491    Vardas4491     5.00                x.xx                
Pavarde4867    Vardas4867     5.00                x.xx                
Pavarde7466    Vardas7466     5.00                x.xx                
Pavarde1684    Vardas1684     5.00                x.xx                
Pavarde8966    Vardas8966     5.00                x.xx                
Pavarde8499    Vardas8499     5.00                x.xx                
Pavarde4760    Vardas4760     5.00                x.xx                
Pavarde3159    Vardas3159     5.00                x.xx                
Pavarde9411    Vardas9411     5.00                x.xx                
Pavarde6273    Vardas6273     5.00                x.xx                
Pavarde2904    Vardas2904     5.00                x.xx                
Pavarde2024    Vardas2024     5.00                x.xx                
Pavarde7057    Vardas7057     5.00                x.xx                
Pavarde941     Vardas941      5.01                x.xx                
Pavarde5405    Vardas5405     5.01                x.xx                
Pavarde7998    Vardas7998     5.01                x.xx                
Pavarde8951    Vardas8951     5.01                x.xx                
Pavarde3829    Vardas3829     5.01                x.xx                
Pavarde2313    Vardas2313     5.01                x.xx                
Pavarde6262    Vardas6262     5.01                x.xx                
Pavarde3608    Vardas3608     5.01                x.xx                
Pavarde6116    Vardas6116     5.01                x.xx                
Pavarde156     Vardas156      5.01                x.xx                
Pavarde72      Vardas72       5.01                x.xx                
Pavarde6352    Vardas6352     5.01                x.xx                
Pavarde2015    Vardas2015     5.01                x.xx                
Pavarde6717    Vardas6717     5.03                x.xx                
Pavarde4180    Vardas4180     5.03                x.xx                
Pavarde8589    Vardas8589     5.03                x.xx                
Pavarde5798    Vardas5798     5.03                x.xx                
Pavarde358     Vardas358      5.03                x.xx                
Pavarde56      Vardas56       5.03                x.xx                
Pavarde2780    Vardas2780     5.03                x.xx                
Pavarde5779    Vardas5779     5.03                x.xx                
Pavarde9119    Vardas9119     5.03                x.xx                
Pavarde2492    Vardas2492     5.03                x.xx                
Pavarde3644    Vardas3644     5.03                x.xx                
Pavarde1654    Vardas1654     5.03                x.xx                
Pavarde7431    Vardas7431     5.03                x.xx                
Pavarde9609    Vardas9609     5.03                x.xx                
Pavarde9883    Vardas9883     5.03                x.xx                
Pavarde1415    Vardas1415     5.03                x.xx                
Pavarde6591    Vardas6591     5.03                x.xx                
Pavarde9440    Vardas9440     5.03                x.xx                
Pavarde1372    Vardas1372     5.03                x.xx                
Pavarde3904    Vardas3904     5.03                x.xx                
Pavarde3713    Vardas3713     5.03                x.xx                
Pavarde9394    Vardas9394     5.03                x.xx                
Pavarde9746    Vardas9746     5.03                x.xx                
Pavarde9294    Vardas9294     5.03                x.xx                
Pavarde8691    Vardas8691     5.03                x.xx                
Pavarde6199    Vardas6199     5.03                x.xx                
Pavarde8717    Vardas8717     5.03                x.xx                
Pavarde5285    Vardas5285     5.03                x.xx                
Pavarde8763    Vardas8763     5.03                x.xx                
Pavarde7840    Vardas7840     5.04                x.xx                
Pavarde2527    Vardas2527     5.04                x.xx                
Pavarde7448    Vardas7448     5.04                x.xx                
Pavarde5908    Vardas5908     5.04                x.xx                
Pavarde5316    Vardas5316     5.04                x.xx                
Pavarde79      Vardas79       5.04                x.xx                
Pavarde162     Vardas162      5.04                x.xx                
Pavarde4218    Vardas4218     5.04                x.xx                
Pavarde1881    Vardas1881     5.04                x.xx                
Pavarde2619    Vardas2619     5.04                x.xx                
Pavarde439     Vardas439      5.05                x.xx                
Pavarde346     Vardas346      5.05                x.xx                
Pavarde1612    Vardas1612     5.05                x.xx                
Pavarde9659    Vardas9659     5.05                x.xx                
Pavarde8887    Vardas8887     5.05                x.xx                
Pavarde5270    Vardas5270     5.05                x.xx                
Pavarde2179    Vardas2179     5.05                x.xx                
Pavarde2182    Vardas2182     5.05                x.xx                
Pavarde4753    Vardas4753     5.05                x.xx                
Pavarde9779    Vardas9779     5.05                x.xx                
Pavarde7719    Vardas7719     5.05                x.xx                
Pavarde174     Vardas174      5.05                x.xx                
Pavarde7774    Vardas7774     5.05                x.xx                
Pavarde3943    Vardas3943     5.05                x.xx                
Pavarde5054    Vardas5054     5.05                x.xx                
Pavarde581     Vardas581      5.05                x.xx                
Pavarde8106    Vardas8106     5.05                x.xx                
Pavarde9426    Vardas9426     5.05                x.xx                
Pavarde50      Vardas50       5.05                x.xx                
Pavarde6384    Vardas6384     5.05                x.xx                
Pavarde4286    Vardas4286     5.05                x.xx                
Pavarde827     Vardas827      5.05                x.xx                
Pavarde2064    Vardas2064     5.05                x.xx                
Pavarde9428    Vardas9428     5.05                x.xx                
Pavarde9161    Vardas9161     5.05                x.xx                
Pavarde9742    Vardas9742     5.05                x.xx                
Pavarde8553    Vardas8553     5.05                x.xx                
Pavarde1969    Vardas1969     5.05                x.xx                
Pavarde8848    Vardas8848     5.05                x.xx                
Pavarde5190    Vardas5190     5.05                x.xx                
Pavarde7829    Vardas7829     5.05                x.xx                
Pavarde2946    Vardas2946     5.05                x.xx                
Pavarde1408    Vardas1408     5.05                x.xx                
Pavarde3239    Vardas3239     5.05                x.xx                
Pavarde4558    Vardas4558     5.05                x.xx                
Pavarde4931    Vardas4931     5.05                x.xx                
Pavarde2134    Vardas2134     5.07                x.xx                
Pavarde9306    Vardas9306     5.07                x.xx                
Pavarde8428    Vardas8428     5.07                x.xx                
Pavarde8756    Vardas8756     5.07                x.xx                
Pavarde5615    Vardas5615     5.07                x.xx                
Pavarde6971    Vardas6971     5.07                x.xx                
Pavarde5541    Vardas5541     5.07                x.xx                
Pavarde597     Vardas597      5.07                x.xx                
Pavarde8910    Vardas8910     5.07                x.xx                
Pavarde9975    Vardas9975     5.07                x.xx                
Pavarde2220    Vardas2220     5.07                x.xx                
Pavarde3316    Vardas3316     5.07                x.xx                
Pavarde397     Vardas397      5.07                x.xx                
Pavarde9329    Vardas9329     5.07                x.xx                
Pavarde7455    Vardas7455     5.07                x.xx                
Pavarde2518    Vardas2518     5.07                x.xx                
Pavarde682     Vardas682      5.07                x.xx                
Pavarde6197    Vardas6197     5.08                x.xx                
Pavarde7694    Vardas7694     5.08                x.xx                
Pavarde961     Vardas961      5.08                x.xx                
Pavarde2600    Vardas2600     5.08                x.xx                
Pavarde7394    Vardas7394     5.08                x.xx                
Pavarde974     Vardas974      5.08                x.xx                
Pavarde9236    Vardas9236     5.08                x.xx                
Pavarde3459    Vardas3459     5.08                x.xx                
Pavarde486     Vardas486      5.08                x.xx                
Pavarde9249    Vardas9249     5.08                x.xx                
Pavarde779     Vardas779      5.08                x.xx                
Pavarde2607    Vardas2607     5.08                x.xx                
Pavarde4905    Vardas4905     5.08                x.xx                
Pavarde2677    Vardas2677     5.08                x.xx                
Pavarde6584    Vardas6584     5.08                x.xx                
Pavarde8790    Vardas8790     5.08                x.xx                
Pavarde8789    Vardas8789     5.08                x.xx                
Pavarde2259    Vardas2259     5.08                x.xx                
Pavarde8607    Vardas8607     5.08                x.xx                
Pavarde1342    Vardas1342     5.08                x.xx                
Pavarde3869    Vardas3869     5.08                x.xx                
Pavarde8780    Vardas8780     5.08                x.xx                
Pavarde4734    Vardas4734     5.08                x.xx                
Pavarde640     Vardas640      5.08                x.xx                
Pavarde219     Vardas219      5.08                x.xx                
Pavarde610     Vardas610      5.08                x.xx                
Pavarde3650    Vardas3650     5.08                x.xx                
Pavarde210     Vardas210      5.08                x.xx                
Pavarde4856    Vardas4856     5.08                x.xx                
Pavarde5095    Vardas5095     5.08                x.xx                
Pavarde3639    Vardas3639     5.08                x.xx                
Pavarde2828    Vardas2828     5.08                x.xx                
Pavarde7611    Vardas7611     5.08                x.xx                
Pavarde5042    Vardas5042     5.08                x.xx                
Pavarde8178    Vardas8178     5.08                x.xx                
Pavarde8216    Vardas8216     5.08                x.xx                
Pavarde4650    Vardas4650     5.08                x.xx                
Pavarde6505    Vardas6505     5.08                x.xx                
Pavarde1173    Vardas1173     5.09                x.xx                
Pavarde9498    Vardas9498     5.09                x.xx                
Pavarde7956    Vardas7956     5.09                x.xx                
Pavarde9397    Vardas9397     5.09                x.xx                
Pavarde32      Vardas32       5.09                x.xx                
Pavarde8500    Vardas8500     5.09                x.xx                
Pavarde8414    Vardas8414     5.11                x.xx                
Pavarde5349    Vardas5349     5.11                x.xx                
Pavarde6168    Vardas6168     5.11                x.xx                
Pavarde5153    Vardas5153     5.11                x.xx                
Pavarde5195    Vardas5195     5.11                x.xx                
Pavarde8655    Vardas8655     5.11                x.xx                
Pavarde8738    Vardas8738     5.11                x.xx                
Pavarde2760    Vardas2760     5.11                x.xx                
Pavarde3268    Vardas3268     5.11                x.xx                
Pavarde5658    Vardas5658     5.11                x.xx                
Pavarde3301    Vardas3301     5.11                x.xx                
Pavarde5686    Vardas5686     5.11                x.xx                
Pavarde7581    Vardas7581     5.11                x.xx                
Pavarde7573    Vardas7573     5.11                x.xx                
Pavarde4090    Vardas4090     5.11                x.xx                
Pavarde943     Vardas943      5.11                x.xx                
Pavarde3434    Vardas3434     5.11                x.xx                
Pavarde1187    Vardas1187     5.11                x.xx                
Pavarde2512    Vardas2512     5.11                x.xx                
Pavarde5892    Vardas5892     5.11                x.xx                
Pavarde4413    Vardas4413     5.11                x.xx                
Pavarde6984    Vardas6984     5.11                x.xx                
Pavarde8034    Vardas8034     5.11                x.xx                
Pavarde9937    Vardas9937     5.11                x.xx                
Pavarde9888    Vardas9888     5.11                x.xx                
Pavarde2943    Vardas2943     5.11                x.xx                
Pavarde1504    Vardas1504     5.11                x.xx                
Pavarde9780    Vardas9780     5.11                x.xx                
Pavarde4355    Vardas4355     5.11                x.xx                
Pavarde5449    Vardas5449     5.11                x.xx                
Pavarde9612    Vardas9612     5.11                x.xx                
Pavarde9511    Vardas9511     5.11                x.xx                
Pavarde3872    Vardas3872     5.12                x.xx                
Pavarde3252    Vardas3252     5.12                x.xx                
Pavarde3288    Vardas3288     5.12                x.xx                
Pavarde2503    Vardas2503     5.12                x.xx                
Pavarde9690    Vardas9690     5.12                x.xx                
Pavarde6925    Vardas6925     5.12                x.xx                
Pavarde339     Vardas339      5.12                x.xx                
Pavarde2276    Vardas2276     5.12                x.xx                
Pavarde5059    Vardas5059     5.12                x.xx                
Pavarde2538    Vardas2538     5.12                x.xx                
Pavarde4720    Vardas4720     5.12                x.xx                
Pavarde2787    Vardas2787     5.12                x.xx                
Pavarde3231    Vardas3231     5.12                x.xx                
Pavarde449     Vardas449      5.12                x.xx                
Pavarde5251    Vardas5251     5.12                x.xx                
Pavarde601     Vardas601      5.12                x.xx                
Pavarde8994    Vardas8994     5.12                x.xx                
Pavarde333     Vardas333      5.12                x.xx                
