
Pavarde       Vardas         Galutinis (Vid.)    Galutinis (Med.)    
------------------------------------------------------------------
Pavarde367     Vardas367      1.75                x.xx                
Pavarde1332    Vardas1332     1.91                x.xx                
Pavarde2919    Vardas2919     1.93                x.xx                
Pavarde4368    Vardas4368     1.96                x.xx                
Pavarde7566    Vardas7566     1.96                x.xx                
Pavarde9264    Vardas9264     2.04                x.xx                
Pavarde4088    Vardas4088     2.04                x.xx                
Pavarde4020    Vardas4020     2.07                x.xx                
Pavarde4679    Vardas4679     2.09                x.xx                
Pavarde7629    Vardas7629     2.09                x.xx                
Pavarde904     Vardas904      2.09                x.xx                
Pavarde4140    Vardas4140     2.12                x.xx                
Pavarde49      Vardas49       2.12                x.xx                
Pavarde343     Vardas343      2.15                x.xx                
Pavarde40      Vardas40       2.15                x.xx                
Pavarde9631    Vardas9631     2.15                x.xx                
Pavarde707     Vardas707      2.17                x.xx                
Pavarde3322    Vardas3322     2.17                x.xx                
Pavarde8729    Vardas8729     2.17                x.xx                
Pavarde2084    Vardas2084     2.17                x.xx                
Pavarde5934    Vardas5934     2.17                x.xx                
Pavarde8254    Vardas8254     2.17                x.xx                
Pavarde4472    Vardas4472     2.17                x.xx                
Pavarde8678    Vardas8678     2.17                x.xx                
Pavarde1925    Vardas1925     2.20                x.xx                
Pavarde1759    Vardas1759     2.20                x.xx                
Pavarde6817    Vardas6817     2.20                x.xx                
Pavarde3867    Vardas3867     2.20                x.xx                
Pavarde3368    Vardas3368     2.23                x.xx                
Pavarde9183    Vardas9183     2.23                x.xx                
Pavarde4835    Vardas4835     2.23                x.xx                
Pavarde9193    Vardas9193     2.23                x.xx                
Pavarde7906    Vardas7906     2.25                x.xx                
Pavarde2893    Vardas2893     2.25                x.xx                
Pavarde5999    Vardas5999     2.25                x.xx                
Pavarde4859    Vardas4859     2.28                x.xx                
Pavarde5988    Vardas5988     2.28                x.xx                
Pavarde3737    Vardas3737     2.28                x.xx                
Pavarde7444    Vardas7444     2.28                x.xx                
Pavarde5266    Vardas5266     2.28                x.xx                
Pavarde9606    Vardas9606     2.28                x.xx                
Pavarde5983    Vardas5983     2.28                x.xx                
Pavarde6816    Vardas6816     2.28                x.xx                
Pavarde815     Vardas815      2.28                x.xx                
Pavarde9299    Vardas9299     2.31                x.xx                
Pavarde914     Vardas914      2.31                x.xx                
Pavarde1089    Vardas1089     2.31                x.xx                
Pavarde7554    Vardas7554     2.31                x.xx                
Pavarde9695    Vardas9695     2.31                x.xx                
Pavarde3626    Vardas3626     2.31                x.xx                
Pavarde5603    Vardas5603     2.31                x.xx                
Pavarde5679    Vardas5679     2.31                x.xx                
Pavarde7349    Vardas7349     2.31                x.xx                
